"","park","organism_type","X.park","Y.park","count","observers","species"
"1","African Burial Ground National Monument","Plantae",-74.0043289124116,40.7145494786585,3,1,3
"2","Alley Pond Park","Amphibians",-73.7467208595024,40.7531389961782,8,3,5
"3","Alley Pond Park","Birds",-73.7467208595024,40.7531389961782,27,6,17
"4","Alley Pond Park","Fish",-73.7467208595024,40.7531389961782,6,3,4
"5","Alley Pond Park","Fungi",-73.7467208595024,40.7531389961782,4,2,4
"6","Alley Pond Park","Insects",-73.7467208595024,40.7531389961782,31,11,21
"7","Alley Pond Park","Mammals",-73.7467208595024,40.7531389961782,4,2,2
"8","Alley Pond Park","Plantae",-73.7467208595024,40.7531389961782,133,17,71
"9","Alley Pond Park","Reptiles",-73.7467208595024,40.7531389961782,4,3,3
"10","Arthur Kill Park","Birds",-74.1817522852334,40.6480210647721,3,1,3
"11","Arthur Kill Park","Fungi",-74.1817522852334,40.6480210647721,2,1,2
"12","Arthur Kill Park","Plantae",-74.1817522852334,40.6480210647721,32,1,29
"13","Astoria Park","Plantae",-73.9221405622717,40.7795935014192,2,1,2
"14","Blood Root Valley","Amphibians",-74.1328797803251,40.5881258019788,1,1,1
"15","Blood Root Valley","Arachnids",-74.1328797803251,40.5881258019788,2,2,2
"16","Blood Root Valley","Fungi",-74.1328797803251,40.5881258019788,1,1,1
"17","Blood Root Valley","Insects",-74.1328797803251,40.5881258019788,11,5,11
"18","Blood Root Valley","Plantae",-74.1328797803251,40.5881258019788,11,3,11
"19","Bloomingdale Park","Amphibians",-74.2129048137179,40.5324881646217,1,1,1
"20","Bloomingdale Park","Fungi",-74.2129048137179,40.5324881646217,1,1,1
"21","Bloomingdale Park","Insects",-74.2129048137179,40.5324881646217,1,1,1
"22","Bloomingdale Park","Plantae",-74.2129048137179,40.5324881646217,3,2,2
"23","Blue Heron Park Preserve","Arachnids",-74.1730575028822,40.5328182118713,2,1,2
"24","Blue Heron Park Preserve","Birds",-74.1730575028822,40.5328182118713,4,3,4
"25","Blue Heron Park Preserve","Insects",-74.1730575028822,40.5328182118713,8,3,8
"26","Blue Heron Park Preserve","Mammals",-74.1730575028822,40.5328182118713,2,2,2
"27","Blue Heron Park Preserve","Plantae",-74.1730575028822,40.5328182118713,57,3,44
"28","Blue Heron Park Preserve","Reptiles",-74.1730575028822,40.5328182118713,2,1,2
"29","Branch Brook Park","Birds",-74.1757275644136,40.7717008529061,7,4,7
"30","Branch Brook Park","Insects",-74.1757275644136,40.7717008529061,2,2,2
"31","Branch Brook Park","Mammals",-74.1757275644136,40.7717008529061,1,1,1
"32","Branch Brook Park","Plantae",-74.1757275644136,40.7717008529061,10,5,8
"33","Bronx Park","Amphibians",-73.8753684036032,40.8576610729583,3,2,2
"34","Bronx Park","Arachnids",-73.8753684036032,40.8576610729583,13,5,6
"35","Bronx Park","Birds",-73.8753684036032,40.8576610729583,118,28,44
"36","Bronx Park","Fish",-73.8753684036032,40.8576610729583,4,2,3
"37","Bronx Park","Fungi",-73.8753684036032,40.8576610729583,17,12,12
"38","Bronx Park","Insects",-73.8753684036032,40.8576610729583,265,33,87
"39","Bronx Park","Mammals",-73.8753684036032,40.8576610729583,32,12,7
"40","Bronx Park","Plantae",-73.8753684036032,40.8576610729583,1333,58,255
"41","Bronx Park","Reptiles",-73.8753684036032,40.8576610729583,27,15,5
"42","Brookville Park","Birds",-73.7455326842628,40.6596612656113,8,2,4
"43","Brookville Park","Mammals",-73.7455326842628,40.6596612656113,5,2,1
"44","Brookville Park","Plantae",-73.7455326842628,40.6596612656113,6,1,5
"45","Canarsie Park","Insects",-73.895686125013,40.6272837644527,1,1,1
"46","Central Park","Amphibians",-73.9655383840987,40.782504087423,2,2,1
"47","Central Park","Arachnids",-73.9655383840987,40.782504087423,1,1,1
"48","Central Park","Birds",-73.9655383840987,40.782504087423,705,135,106
"49","Central Park","Fish",-73.9655383840987,40.782504087423,14,4,6
"50","Central Park","Fungi",-73.9655383840987,40.782504087423,36,19,16
"51","Central Park","Insects",-73.9655383840987,40.782504087423,126,40,55
"52","Central Park","Mammals",-73.9655383840987,40.782504087423,113,64,6
"53","Central Park","Plantae",-73.9655383840987,40.782504087423,421,77,188
"54","Central Park","Reptiles",-73.9655383840987,40.782504087423,44,32,2
"55","Clay Pit Ponds","Amphibians",-74.2290515367322,40.5405650849299,4,3,2
"56","Clay Pit Ponds","Arachnids",-74.2290515367322,40.5405650849299,2,2,1
"57","Clay Pit Ponds","Fungi",-74.2290515367322,40.5405650849299,4,2,4
"58","Clay Pit Ponds","Insects",-74.2290515367322,40.5405650849299,40,4,33
"59","Clay Pit Ponds","Mammals",-74.2290515367322,40.5405650849299,1,1,1
"60","Clay Pit Ponds","Plantae",-74.2290515367322,40.5405650849299,30,2,24
"61","Clay Pit Ponds","Reptiles",-74.2290515367322,40.5405650849299,4,2,3
"62","Clove Lakes Park","Birds",-74.1137857331531,40.6194067992647,24,4,21
"63","Clove Lakes Park","Fungi",-74.1137857331531,40.6194067992647,2,2,2
"64","Clove Lakes Park","Mammals",-74.1137857331531,40.6194067992647,2,2,2
"65","Clove Lakes Park","Plantae",-74.1137857331531,40.6194067992647,12,3,8
"66","Clove Lakes Park","Reptiles",-74.1137857331531,40.6194067992647,4,2,3
"67","Compensation Land","Fish",-74.0880178553704,40.7851267021986,1,1,1
"68","Compensation Open Space","Birds",-74.1034177326524,40.786245045535,18,4,16
"69","Compensation Open Space","Insects",-74.1034177326524,40.786245045535,4,2,2
"70","Compensation Open Space","Plantae",-74.1034177326524,40.786245045535,10,4,10
"71","Compensation Open Space","Reptiles",-74.1034177326524,40.786245045535,2,1,1
"72","Coney Island Beach and Boardwalk","Birds",-73.9784124327922,40.5715389167931,7,5,4
"73","Conference House Park","Birds",-74.2441168681656,40.4995775369219,8,4,8
"74","Conference House Park","Fungi",-74.2441168681656,40.4995775369219,2,2,2
"75","Conference House Park","Insects",-74.2441168681656,40.4995775369219,4,3,4
"76","Conference House Park","Plantae",-74.2441168681656,40.4995775369219,2,1,1
"77","Crotona Park","Insects",-73.8951373434966,40.838647722251,1,1,1
"78","Cunningham Park","Fungi",-73.7701716199967,40.73175453777,8,4,8
"79","Cunningham Park","Insects",-73.7701716199967,40.73175453777,1,1,1
"80","Cunningham Park","Plantae",-73.7701716199967,40.73175453777,5,1,3
"81","Eagle Rock Reservation","Birds",-74.238991389204,40.8101079652587,1,1,1
"82","Eagle Rock Reservation","Plantae",-74.238991389204,40.8101079652587,1,1,1
"83","East River Park","Birds",-73.9746403589045,40.7178555708704,5,2,4
"84","East River Park","Fish",-73.9746403589045,40.7178555708704,1,1,1
"85","East River Park","Fungi",-73.9746403589045,40.7178555708704,3,1,3
"86","East River Park","Mammals",-73.9746403589045,40.7178555708704,1,1,1
"87","East River Park","Plantae",-73.9746403589045,40.7178555708704,3,1,3
"88","Eastern District Terminal","Plantae",-73.9617633287075,40.7218933195676,1,1,1
"89","Edgemere Park","Birds",-73.7803709670853,40.6037733415003,9,1,9
"90","Edgemere Park","Insects",-73.7803709670853,40.6037733415003,4,1,4
"91","Edgemere Park","Reptiles",-73.7803709670853,40.6037733415003,1,1,1
"92","Edison National Historic Site","Plantae",-74.2398209695814,40.7859707471663,27,1,27
"93","Elizabeth River Parkway","Birds",-74.2345184870794,40.6872623765616,2,1,2
"94","Elizabeth River Parkway","Fungi",-74.2345184870794,40.6872623765616,3,2,3
"95","Elizabeth River Parkway","Insects",-74.2345184870794,40.6872623765616,2,1,2
"96","Elizabeth River Parkway","Mammals",-74.2345184870794,40.6872623765616,1,1,1
"97","Elizabeth River Parkway","Plantae",-74.2345184870794,40.6872623765616,71,2,56
"98","Empire-Fulton Ferry","Fungi",-73.9919923281916,40.7042081059242,1,1,1
"99","Empire-Fulton Ferry","Insects",-73.9919923281916,40.7042081059242,9,5,5
"100","Empire-Fulton Ferry","Plantae",-73.9919923281916,40.7042081059242,4,3,4
"101","Federal Hall National Memorial","Birds",-74.0102563573315,40.7073119227243,1,1,1
"102","Ferry Point Park","Plantae",-73.8327530193475,40.8125151278688,3,2,2
"103","Flushing Meadows Corona Park","Birds",-73.8444041465892,40.7490915917695,21,10,11
"104","Flushing Meadows Corona Park","Insects",-73.8444041465892,40.7490915917695,3,3,3
"105","Flushing Meadows Corona Park","Mammals",-73.8444041465892,40.7490915917695,1,1,1
"106","Flushing Meadows Corona Park","Plantae",-73.8444041465892,40.7490915917695,9,3,4
"107","Forest Park","Birds",-73.8533800022579,40.7019531547474,5,1,5
"108","Forest Park","Fungi",-73.8533800022579,40.7019531547474,5,4,5
"109","Forest Park","Insects",-73.8533800022579,40.7019531547474,10,2,7
"110","Forest Park","Mammals",-73.8533800022579,40.7019531547474,1,1,1
"111","Forest Park","Plantae",-73.8533800022579,40.7019531547474,7,5,6
"112","Fort Hamilton","Insects",-74.0294897856293,40.6086355829777,1,1,1
"113","Fort Tryon Park","Birds",-73.9326066648184,40.8620167998601,12,4,10
"114","Fort Tryon Park","Insects",-73.9326066648184,40.8620167998601,5,2,4
"115","Fort Tryon Park","Mammals",-73.9326066648184,40.8620167998601,4,4,1
"116","Fort Tryon Park","Plantae",-73.9326066648184,40.8620167998601,18,6,7
"117","Fort Washington Park","Birds",-73.9435355942067,40.8499200768162,13,4,9
"118","Fort Washington Park","Fish",-73.9435355942067,40.8499200768162,1,1,1
"119","Fort Washington Park","Insects",-73.9435355942067,40.8499200768162,1,1,1
